activity_date_key,activity_date,salesperson_id,team_id,region_id,leads_received,contacts_made,quotes_issued,applications_submitted,policies_closed
20260101,2026-01-01,SP0001,TM001,GP05,9,5,2,0,0
20260101,2026-01-01,SP0002,TM002,GP01,12,7,3,2,1
20260101,2026-01-01,SP0003,TM003,GP04,7,7,4,3,3
20260101,2026-01-01,SP0004,TM004,WC03,6,4,2,1,1
20260101,2026-01-01,SP0007,TM007,KZN02,6,5,2,1,1
20260101,2026-01-01,SP0008,TM008,EC01,10,8,6,3,3
20260101,2026-01-01,SP0010,TM010,FS01,15,13,3,3,0
20260101,2026-01-01,SP0011,TM011,LP01,4,1,1,1,1
20260101,2026-01-01,SP0012,TM012,MP02,7,7,4,4,4
20260101,2026-01-01,SP0013,TM013,NW01,10,4,2,0,0
20260101,2026-01-01,SP0014,TM014,NC01,7,6,2,1,1
20260101,2026-01-01,SP0015,TM002,GP04,14,10,4,3,1
20260101,2026-01-01,SP0016,TM011,LP02,14,11,5,2,0
20260101,2026-01-01,SP0017,TM007,KZN02,8,8,6,3,2
20260101,2026-01-01,SP0018,TM011,LP01,4,2,1,0,0
20260101,2026-01-01,SP0019,TM012,MP02,5,5,3,2,1
20260101,2026-01-01,SP0020,TM002,GP04,11,7,3,3,1
20260101,2026-01-01,SP0021,TM001,GP01,5,4,2,1,1
20260101,2026-01-01,SP0022,TM012,MP01,10,8,5,2,2
20260101,2026-01-01,SP0023,TM005,WC02,10,6,2,1,1
20260101,2026-01-01,SP0024,TM001,GP03,4,2,2,2,2
20260101,2026-01-01,SP0025,TM014,NC01,6,6,2,2,2
20260101,2026-01-01,SP0026,TM005,WC04,3,1,1,1,0
20260101,2026-01-01,SP0028,TM010,FS02,14,9,3,2,2
20260101,2026-01-01,SP0029,TM009,EC01,7,4,1,1,1
20260101,2026-01-01,SP0030,TM008,EC01,8,8,5,4,3
20260101,2026-01-01,SP0031,TM009,EC03,6,5,4,4,1
20260101,2026-01-01,SP0032,TM014,NC01,4,3,2,2,1
20260101,2026-01-01,SP0033,TM014,NC01,9,8,4,3,3
20260101,2026-01-01,SP0034,TM013,NW02,12,7,4,2,1
20260101,2026-01-01,SP0036,TM014,NC01,7,6,4,3,2
