target_month_key,target_month,region_id,product_id,target_policy_count,target_revenue
202401,2024-01-01,GP01,P001,33,33041.52
202401,2024-01-01,GP01,P002,25,10752.78
202401,2024-01-01,GP01,P003,18,12852.03
202401,2024-01-01,GP01,P004,19,7172.52
202401,2024-01-01,GP01,P005,42,9138.16
202401,2024-01-01,GP01,P006,30,16403.42
202401,2024-01-01,GP01,P007,21,7248.1
202401,2024-01-01,GP01,P008,16,2674.99
202401,2024-01-01,GP01,P009,16,4290.9
202401,2024-01-01,GP02,P001,36,34553.36
202401,2024-01-01,GP02,P002,26,10712.3
202401,2024-01-01,GP02,P003,18,12824.75
202401,2024-01-01,GP02,P004,20,7593.85
202401,2024-01-01,GP02,P005,41,8946.26
202401,2024-01-01,GP02,P006,29,15996.79
202401,2024-01-01,GP02,P007,24,7713.59
202401,2024-01-01,GP02,P008,16,2703.85
202401,2024-01-01,GP02,P009,18,4623.01
202401,2024-01-01,GP03,P001,33,33586.47
202401,2024-01-01,GP03,P002,25,10264.03
202401,2024-01-01,GP03,P003,22,15439.66
202401,2024-01-01,GP03,P004,21,7830.8
202401,2024-01-01,GP03,P005,48,9780.51
202401,2024-01-01,GP03,P006,33,19027.14
202401,2024-01-01,GP03,P007,23,7644.37
202401,2024-01-01,GP03,P008,18,3011.1
202401,2024-01-01,GP03,P009,19,5147.8
202401,2024-01-01,GP04,P001,27,26969.97
202401,2024-01-01,GP04,P002,23,9858.96
202401,2024-01-01,GP04,P003,18,13303.2
202401,2024-01-01,GP04,P004,18,6900.68
202401,2024-01-01,GP04,P005,38,8166.81
202401,2024-01-01,GP04,P006,26,15038.65
202401,2024-01-01,GP04,P007,19,6171.17
202401,2024-01-01,GP04,P008,14,2350.44
202401,2024-01-01,GP04,P009,16,4219.38
202401,2024-01-01,GP05,P001,31,31687.48
202401,2024-01-01,GP05,P002,25,10817.41
202401,2024-01-01,GP05,P003,17,12370.37
202401,2024-01-01,GP05,P004,19,7200.59
202401,2024-01-01,GP05,P005,38,7790.66
202401,2024-01-01,GP05,P006,27,15676.69
202401,2024-01-01,GP05,P007,21,7274.08
202401,2024-01-01,GP05,P008,14,2347.44
202401,2024-01-01,GP05,P009,17,4396.58
202401,2024-01-01,WC01,P001,31,31661.28
202401,2024-01-01,WC01,P002,25,10766.4
202401,2024-01-01,WC01,P003,19,13579.97
202401,2024-01-01,WC01,P004,20,7580.22
202401,2024-01-01,WC01,P005,41,9037.23
202401,2024-01-01,WC01,P006,29,16109.67
202401,2024-01-01,WC01,P007,21,6981.95
202401,2024-01-01,WC01,P008,16,2644.02
202401,2024-01-01,WC01,P009,17,4575.26
202401,2024-01-01,WC02,P001,29,28630.24
202401,2024-01-01,WC02,P002,22,9633.26
202401,2024-01-01,WC02,P003,17,12197.31
202401,2024-01-01,WC02,P004,20,7676.02
202401,2024-01-01,WC02,P005,36,7923.56
202401,2024-01-01,WC02,P006,26,14806.66
202401,2024-01-01,WC02,P007,20,6901.69
202401,2024-01-01,WC02,P008,15,2484.71
202401,2024-01-01,WC02,P009,16,4260.83
202401,2024-01-01,WC03,P001,28,27250.53
202401,2024-01-01,WC03,P002,24,9951.01
202401,2024-01-01,WC03,P003,16,11984.4
202401,2024-01-01,WC03,P004,20,7550.77
202401,2024-01-01,WC03,P005,41,8433.27
202401,2024-01-01,WC03,P006,25,14001.49
202401,2024-01-01,WC03,P007,19,6260.47
202401,2024-01-01,WC03,P008,16,2571.73
202401,2024-01-01,WC03,P009,17,4602.31
202401,2024-01-01,WC04,P001,26,26110.78
202401,2024-01-01,WC04,P002,20,8551.18
202401,2024-01-01,WC04,P003,17,12060.74
202401,2024-01-01,WC04,P004,18,6876.34
202401,2024-01-01,WC04,P005,36,7698.62
202401,2024-01-01,WC04,P006,26,14662.58
202401,2024-01-01,WC04,P007,18,5801.94
202401,2024-01-01,WC04,P008,14,2293.55
202401,2024-01-01,WC04,P009,15,3857.12
202401,2024-01-01,KZN01,P001,28,28169.95
202401,2024-01-01,KZN01,P002,24,10555.01
202401,2024-01-01,KZN01,P003,18,13175.53
202401,2024-01-01,KZN01,P004,18,6679.28
202401,2024-01-01,KZN01,P005,39,8301.09
202401,2024-01-01,KZN01,P006,25,13696.71
202401,2024-01-01,KZN01,P007,20,6537.39
202401,2024-01-01,KZN01,P008,15,2474.92
202401,2024-01-01,KZN01,P009,16,4297.19
202401,2024-01-01,KZN02,P001,24,23513.01
202401,2024-01-01,KZN02,P002,19,8218.09
202401,2024-01-01,KZN02,P003,14,10254.01
202401,2024-01-01,KZN02,P004,16,6128.34
202401,2024-01-01,KZN02,P005,36,7820.43
202401,2024-01-01,KZN02,P006,22,12556.56
202401,2024-01-01,KZN02,P007,17,5567.16
