activity_date_key,activity_date,salesperson_id,team_id,region_id,leads_received,contacts_made,quotes_issued,applications_submitted,policies_closed
20240101,2024-01-01,SP0001,TM001,GP05,3,1,1,0,0
20240101,2024-01-01,SP0003,TM003,GP04,6,5,2,1,1
20240101,2024-01-01,SP0006,TM006,KZN03,8,6,4,2,2
20240101,2024-01-01,SP0008,TM008,EC01,12,11,5,4,4
20240101,2024-01-01,SP0009,TM009,EC02,7,6,6,6,5
20240101,2024-01-01,SP0010,TM010,FS01,7,3,3,3,2
20240101,2024-01-01,SP0011,TM011,LP01,3,2,1,1,1
20240101,2024-01-01,SP0012,TM012,MP02,10,8,5,3,0
20240101,2024-01-01,SP0014,TM014,NC01,4,4,3,2,2
20240101,2024-01-01,SP0015,TM002,GP04,4,2,1,0,0
20240101,2024-01-01,SP0016,TM011,LP02,4,4,2,2,2
20240101,2024-01-01,SP0017,TM007,KZN02,16,10,4,2,1
20240101,2024-01-01,SP0018,TM011,LP01,7,5,2,2,1
20240101,2024-01-01,SP0020,TM002,GP04,5,3,0,0,0
20240101,2024-01-01,SP0022,TM012,MP01,13,9,5,4,3
20240101,2024-01-01,SP0023,TM005,WC02,16,14,7,5,4
20240101,2024-01-01,SP0024,TM001,GP03,10,7,5,5,5
20240101,2024-01-01,SP0025,TM014,NC01,8,5,2,1,0
20240101,2024-01-01,SP0027,TM008,EC02,9,5,4,4,4
20240101,2024-01-01,SP0028,TM010,FS02,10,8,7,3,0
20240101,2024-01-01,SP0029,TM009,EC01,7,6,4,1,1
20240101,2024-01-01,SP0031,TM009,EC03,8,6,4,3,3
20240101,2024-01-01,SP0032,TM014,NC01,6,3,1,1,1
20240101,2024-01-01,SP0033,TM014,NC01,5,5,3,2,2
20240101,2024-01-01,SP0034,TM013,NW02,7,6,3,1,1
20240101,2024-01-01,SP0035,TM013,NW01,7,4,3,2,2
20240101,2024-01-01,SP0036,TM014,NC01,13,10,5,2,0
20240101,2024-01-01,SP0037,TM003,GP01,10,7,4,2,1
20240101,2024-01-01,SP0039,TM014,NC01,8,7,2,2,2
20240101,2024-01-01,SP0040,TM014,NC01,6,4,1,1,0
20240101,2024-01-01,SP0041,TM006,KZN01,9,7,4,4,4
20240101,2024-01-01,SP0042,TM011,LP01,10,9,5,3,3
20240101,2024-01-01,SP0043,TM002,GP03,10,9,5,3,3
20240101,2024-01-01,SP0044,TM005,WC03,10,8,5,5,4
20240101,2024-01-01,SP0045,TM011,LP01,7,3,2,1,1
20240101,2024-01-01,SP0046,TM009,EC03,9,6,3,2,2
20240101,2024-01-01,SP0047,TM010,FS01,7,6,3,1,1
20240101,2024-01-01,SP0048,TM004,WC03,8,6,3,3,2
20240101,2024-01-01,SP0049,TM002,GP05,10,10,4,4,3
20240101,2024-01-01,SP0050,TM013,NW02,9,7,5,3,3
20240101,2024-01-01,SP0051,TM014,NC01,7,5,3,2,2
20240101,2024-01-01,SP0055,TM009,EC02,8,7,2,2,1
20240101,2024-01-01,SP0056,TM012,MP02,8,5,5,4,3
20240101,2024-01-01,SP0058,TM013,NW01,8,5,2,2,1
20240101,2024-01-01,SP0060,TM005,WC03,8,7,3,2,1
20240101,2024-01-01,SP0061,TM011,LP02,10,7,5,5,3
20240101,2024-01-01,SP0062,TM011,LP01,7,6,2,2,0
20240101,2024-01-01,SP0063,TM002,GP02,5,3,0,0,0
20240101,2024-01-01,SP0065,TM005,WC02,8,5,5,3,2
20240101,2024-01-01,SP0066,TM014,NC01,13,9,6,5,3
20240101,2024-01-01,SP0067,TM011,LP01,6,2,1,0,0
20240101,2024-01-01,SP0068,TM003,GP04,5,4,2,1,1
20240101,2024-01-01,SP0069,TM009,EC03,5,3,1,1,0
20240101,2024-01-01,SP0070,TM002,GP04,4,4,3,1,1
20240101,2024-01-01,SP0071,TM014,NC01,9,7,4,3,3
20240101,2024-01-01,SP0072,TM008,EC01,8,5,3,1,1
20240101,2024-01-01,SP0075,TM002,GP04,7,6,3,1,1
20240101,2024-01-01,SP0076,TM011,LP02,6,5,1,1,1
20240101,2024-01-01,SP0077,TM004,WC01,7,6,4,3,1
20240101,2024-01-01,SP0078,TM008,EC01,11,10,7,4,2
20240101,2024-01-01,SP0080,TM001,GP02,9,7,6,6,4
20240101,2024-01-01,SP0082,TM002,GP05,9,7,4,4,3
20240101,2024-01-01,SP0083,TM007,KZN04,13,8,6,4,1
20240101,2024-01-01,SP0084,TM006,KZN04,9,6,2,1,0
20240101,2024-01-01,SP0085,TM012,MP02,13,12,6,4,4
20240101,2024-01-01,SP0086,TM010,FS01,4,2,1,1,1
20240101,2024-01-01,SP0088,TM001,GP05,5,2,1,0,0
20240101,2024-01-01,SP0089,TM012,MP02,5,5,3,2,1
20240101,2024-01-01,SP0090,TM002,GP03,13,7,3,3,2
20240101,2024-01-01,SP0091,TM001,GP04,4,1,0,0,0
20240101,2024-01-01,SP0092,TM002,GP01,7,4,3,3,1
20240101,2024-01-01,SP0093,TM003,GP04,12,10,6,5,3
20240101,2024-01-01,SP0095,TM010,FS02,7,4,0,0,0
20240101,2024-01-01,SP0097,TM003,GP04,6,3,2,0,0
20240101,2024-01-01,SP0098,TM007,KZN03,7,5,2,2,2
20240101,2024-01-01,SP0100,TM009,EC03,7,6,2,2,1
20240101,2024-01-01,SP0101,TM006,KZN02,7,5,4,2,1
20240101,2024-01-01,SP0102,TM005,WC01,8,5,3,2,2
20240101,2024-01-01,SP0104,TM004,WC03,8,6,4,1,0
20240101,2024-01-01,SP0105,TM009,EC03,9,8,6,4,4
20240101,2024-01-01,SP0106,TM012,MP01,9,8,3,3,2
20240101,2024-01-01,SP0107,TM005,WC01,1,1,1,0,0
20240101,2024-01-01,SP0108,TM012,MP01,7,6,1,1,0
20240101,2024-01-01,SP0110,TM006,KZN03,15,13,11,8,7
20240101,2024-01-01,SP0111,TM002,GP04,13,9,6,5,4
20240101,2024-01-01,SP0112,TM011,LP02,10,8,5,3,2
20240101,2024-01-01,SP0113,TM009,EC01,6,6,4,3,3
20240101,2024-01-01,SP0114,TM006,KZN01,7,5,2,2,2
20240101,2024-01-01,SP0115,TM012,MP01,8,8,8,7,3
20240101,2024-01-01,SP0116,TM012,MP02,8,5,3,3,3
20240101,2024-01-01,SP0118,TM003,GP01,7,3,2,1,1
20240101,2024-01-01,SP0119,TM002,GP04,10,5,2,0,0
20240101,2024-01-01,SP0120,TM012,MP02,4,3,1,1,0
20240101,2024-01-01,SP0121,TM008,EC03,6,5,2,1,1
20240101,2024-01-01,SP0122,TM006,KZN01,10,7,3,2,2
20240101,2024-01-01,SP0123,TM012,MP01,8,5,3,2,2
20240101,2024-01-01,SP0125,TM005,WC03,5,5,2,1,1
20240101,2024-01-01,SP0128,TM007,KZN04,7,6,2,2,2
20240101,2024-01-01,SP0129,TM007,KZN04,6,6,4,3,0
20240101,2024-01-01,SP0130,TM007,KZN04,13,11,5,3,2
20240101,2024-01-01,SP0131,TM012,MP01,4,4,2,1,0
20240101,2024-01-01,SP0132,TM002,GP05,6,5,4,2,1
