policy_id,sale_date_key,sale_date,customer_id,salesperson_id,region_id,raw_region_id,branch_id,product_id,channel_id,monthly_premium,annualized_revenue,discount_rate,commission_amount,sale_type,source_system,ingested_at
POL00098293,20260115,2026-01-15,C009953,SP0002,GP01,GP01,BR001,P001,CH02,1001.64,12019.68,0.05,1442.36,New Business,PolicyAdmin,2026-01-15 09:58:00
POL00098294,20260110,2026-01-10,C018438,SP0037,GP01,GP01,BR001,P001,CH01,1217.04,14604.48,0.0,1752.54,New Business,PolicyAdmin,2026-01-10 10:54:00
POL00098295,20260130,2026-01-30,C013567,SP0092,GP01,GP01,BR001,P001,CH01,876.83,10521.96,0.0,1262.64,New Business,DigitalPortal,2026-01-30 08:16:00
POL00098296,20260127,2026-01-27,C016172,SP0037,GP01,GP01,BR001,P001,CH01,865.03,10380.36,0.0,1245.64,New Business,DigitalPortal,2026-01-27 13:13:00
POL00098297,20260104,2026-01-04,C006584,SP0021,GP01,GP01,BR001,P001,CH03,929.41,11152.92,0.05,1338.35,New Business,PolicyAdmin,2026-01-04 16:04:00
POL00098298,20260109,2026-01-09,C025989,SP0037,GP01,GP01,BR001,P001,CH05,641.77,7701.24,0.0,924.15,New Business,CRM,2026-01-09 12:51:00
POL00098299,20260115,2026-01-15,C022073,SP0118,GP01,GP01,BR001,P001,CH02,1034.15,12409.8,0.0,1489.18,New Business,DigitalPortal,2026-01-15 11:32:00
POL00098300,20260123,2026-01-23,C024526,SP0037,GP01,GP01,BR001,P001,CH04,896.43,10757.16,0.0,1290.86,New Business,PolicyAdmin,2026-01-23 10:26:00
POL00098301,20260105,2026-01-05,C007963,SP0092,GP01,GP01,BR001,P001,CH03,1010.3,12123.6,0.1,1454.83,New Business,CRM,2026-01-05 12:40:00
POL00098302,20260102,2026-01-02,C016411,SP0118,GP01,GP01,BR001,P001,CH04,889.72,10676.64,0.05,1281.2,New Business,PolicyAdmin,2026-01-02 08:51:00
POL00098303,20260128,2026-01-28,C027321,SP0002,GP01,GP01,BR001,P001,CH01,794.43,9533.16,0.05,1143.98,New Business,CRM,2026-01-28 12:15:00
POL00098304,20260116,2026-01-16,C026004,SP0002,GP01,GP01,BR001,P001,CH03,840.82,10089.84,0.0,1210.78,New Business,CRM,2026-01-16 14:56:00
POL00098305,20260126,2026-01-26,C019982,SP0002,GP01,GP01,BR001,P001,CH02,970.62,11647.44,0.0,1397.69,New Business,CRM,2026-01-26 08:45:00
POL00098306,20260129,2026-01-29,C005754,SP0092,GP01,GP01,BR001,P001,CH03,1221.48,14657.76,0.05,1758.93,New Business,CRM,2026-01-29 08:46:00
POL00098307,20260116,2026-01-16,C015154,SP0092,GP01,GP01,BR001,P001,CH01,867.31,10407.72,0.0,1248.93,New Business,PolicyAdmin,2026-01-16 16:12:00
POL00098308,20260108,2026-01-08,C011704,SP0092,GP01,GP01,BR001,P001,CH03,994.86,11938.32,0.05,1432.6,New Business,PolicyAdmin,2026-01-08 16:42:00
POL00098309,20260114,2026-01-14,C028159,SP0037,GP01,GP01,BR001,P001,CH01,1021.68,12260.16,0.0,1471.22,New Business,CRM,2026-01-14 15:21:00
POL00098310,20260122,2026-01-22,C016098,SP0037,GP01,GP01,BR001,P001,CH02,1082.23,12986.76,0.0,1558.41,New Business,PolicyAdmin,2026-01-22 08:45:00
POL00098311,20260130,2026-01-30,C005215,SP0002,GP01,GP01,BR001,P001,CH01,777.84,9334.08,0.05,1120.09,New Business,DigitalPortal,2026-01-30 12:09:00
POL00098312,20260109,2026-01-09,C015413,SP0092,GP01,GP01,BR001,P001,CH03,1027.24,12326.88,0.0,1479.23,New Business,PolicyAdmin,2026-01-09 11:15:00
POL00098313,20260105,2026-01-05,C026971,SP0092,GP01,GP01,BR001,P001,CH04,1445.88,17350.56,0.0,2082.07,New Business,PolicyAdmin,2026-01-05 15:29:00
POL00098314,20260127,2026-01-27,C021625,SP0118,GP01,GP01,BR001,P001,CH02,1096.0,13152.0,0.0,1578.24,New Business,DigitalPortal,2026-01-27 15:34:00
POL00098315,20260107,2026-01-07,C018645,SP0037,GP01,GP01,BR001,P001,CH04,957.64,11491.68,0.0,1379.0,New Business,CRM,2026-01-07 16:32:00
