policy_id,sale_date_key,sale_date,customer_id,salesperson_id,region_id,raw_region_id,branch_id,product_id,channel_id,monthly_premium,annualized_revenue,discount_rate,commission_amount,sale_type,source_system,ingested_at
POL00044911,20250117,2025-01-17,C003375,SP0021,GP01,GP01,BR001,P001,CH02,896.05,10752.6,0.0,1290.31,New Business,PolicyAdmin,2025-01-17 08:11:00
POL00044912,20250129,2025-01-29,C019787,SP0037,GP01,GP01,BR001,P001,CH03,1008.5,12102.0,0.0,1452.24,New Business,DigitalPortal,2025-01-29 11:36:00
POL00044913,20250118,2025-01-18,C018199,SP0037,GP01,GP01,BR001,P001,CH04,1375.58,16506.96,0.0,1980.84,New Business,CRM,2025-01-18 13:00:00
POL00044914,20250118,2025-01-18,C021860,SP0002,GP01,GP01,BR001,P001,CH01,984.44,11813.28,0.0,1417.59,New Business,CRM,2025-01-18 17:34:00
POL00044915,20250109,2025-01-09,C017550,SP0021,GP01,GP01,BR001,P001,CH02,1291.17,15494.04,0.05,1859.28,New Business,CRM,2025-01-09 08:28:00
POL00044916,20250117,2025-01-17,C017097,SP0021,GP01,GP01,BR001,P001,CH02,999.44,11993.28,0.0,1439.19,New Business,PolicyAdmin,2025-01-17 10:05:00
POL00044917,20250112,2025-01-12,C018064,SP0118,GP01,GP01,BR001,P001,CH01,894.49,10733.88,0.0,1288.07,New Business,CRM,2025-01-12 10:29:00
POL00044918,20250102,2025-01-02,C001077,SP0037,GP01,GP01,BR001,P001,CH02,711.96,8543.52,0.0,1025.22,New Business,CRM,2025-01-02 14:06:00
POL00044919,20250114,2025-01-14,C014151,SP0092,GP01,GP01,BR001,P001,CH03,745.11,8941.32,0.1,1072.96,New Business,CRM,2025-01-14 15:35:00
POL00044920,20250116,2025-01-16,C007027,SP0118,GP01,GP01,BR001,P001,CH02,624.79,7497.48,0.15,899.7,New Business,PolicyAdmin,2025-01-16 13:18:00
POL00044921,20250122,2025-01-22,C019343,SP0021,GP01,GP01,BR001,P001,CH04,1125.37,13504.44,0.0,1620.53,New Business,CRM,2025-01-22 15:37:00
POL00044922,20250129,2025-01-29,C002012,SP0002,GP01,GP01,BR001,P001,CH03,866.96,10403.52,0.0,1248.42,New Business,PolicyAdmin,2025-01-29 14:03:00
POL00044923,20250107,2025-01-07,C008284,SP0118,GP01,GP01,BR001,P001,CH01,863.28,10359.36,0.0,1243.12,New Business,PolicyAdmin,2025-01-07 17:59:00
POL00044924,20250109,2025-01-09,C000889,SP0037,GP01,GP01,BR001,P001,CH04,680.44,8165.28,0.0,979.83,New Business,DigitalPortal,2025-01-09 12:44:00
