policy_id,status_date_key,status_date,policy_status,status_reason
POL00008085,20250118,2025-01-18,Lapsed,Non-payment
POL00008416,20250104,2025-01-04,Lapsed,Non-payment
POL00009183,20250116,2025-01-16,Lapsed,Non-payment
POL00009500,20250107,2025-01-07,Lapsed,Non-payment
POL00011038,20250116,2025-01-16,Lapsed,Non-payment
POL00012042,20250131,2025-01-31,Lapsed,Non-payment
POL00012228,20250107,2025-01-07,Lapsed,Non-payment
POL00012316,20250117,2025-01-17,Lapsed,Non-payment
POL00012456,20250114,2025-01-14,Lapsed,Non-payment
POL00012844,20250116,2025-01-16,Lapsed,Non-payment
POL00013191,20250111,2025-01-11,Lapsed,Non-payment
POL00013236,20250112,2025-01-12,Lapsed,Non-payment
POL00013332,20250109,2025-01-09,Lapsed,Non-payment
POL00013814,20250102,2025-01-02,Cancelled,Customer Request
POL00014208,20250105,2025-01-05,Lapsed,Non-payment
POL00014350,20250207,2025-02-07,Lapsed,Non-payment
POL00014548,20250109,2025-01-09,Lapsed,Non-payment
POL00014675,20250208,2025-02-08,Lapsed,Non-payment
POL00014884,20250123,2025-01-23,Lapsed,Non-payment
POL00014984,20250209,2025-02-09,Lapsed,Non-payment
POL00015146,20250105,2025-01-05,Lapsed,Non-payment
POL00015586,20250201,2025-02-01,Lapsed,Non-payment
POL00015616,20250119,2025-01-19,Cancelled,Customer Request
POL00015629,20250312,2025-03-12,Lapsed,Non-payment
POL00015645,20250311,2025-03-11,Lapsed,Non-payment
POL00015785,20250302,2025-03-02,Lapsed,Non-payment
POL00015844,20250107,2025-01-07,Lapsed,Non-payment
POL00015857,20250208,2025-02-08,Lapsed,Non-payment
POL00015979,20250114,2025-01-14,Cancelled,Underwriting
POL00016038,20250218,2025-02-18,Lapsed,Non-payment
POL00016058,20250201,2025-02-01,Lapsed,Non-payment
POL00016180,20250214,2025-02-14,Lapsed,Non-payment
POL00016245,20250119,2025-01-19,Lapsed,Non-payment
POL00016267,20250102,2025-01-02,Cancelled,Customer Request
POL00016285,20250317,2025-03-17,Lapsed,Non-payment
POL00016302,20250125,2025-01-25,Lapsed,Non-payment
POL00016410,20250126,2025-01-26,Cancelled,Duplicate Cover
POL00016444,20250117,2025-01-17,Lapsed,Non-payment
POL00016515,20250103,2025-01-03,Cancelled,Affordability
POL00016530,20250110,2025-01-10,Lapsed,Non-payment
POL00016564,20250108,2025-01-08,Cancelled,Customer Request
POL00016600,20250202,2025-02-02,Lapsed,Non-payment
POL00016658,20250113,2025-01-13,Cancelled,Customer Request
POL00016703,20250116,2025-01-16,Cancelled,Underwriting
POL00016806,20250120,2025-01-20,Lapsed,Non-payment
POL00016981,20250308,2025-03-08,Lapsed,Non-payment
POL00017034,20250204,2025-02-04,Lapsed,Non-payment
POL00017107,20250225,2025-02-25,Lapsed,Non-payment
POL00017121,20250103,2025-01-03,Cancelled,Underwriting
POL00017181,20250118,2025-01-18,Lapsed,Non-payment
POL00017202,20250226,2025-02-26,Lapsed,Non-payment
POL00017250,20250103,2025-01-03,Cancelled,Duplicate Cover
POL00017453,20250110,2025-01-10,Lapsed,Non-payment
POL00017456,20250101,2025-01-01,Cancelled,Duplicate Cover
POL00017468,20250112,2025-01-12,Lapsed,Non-payment
POL00017629,20250323,2025-03-23,Lapsed,Non-payment
POL00017641,20250206,2025-02-06,Lapsed,Non-payment
POL00017652,20250103,2025-01-03,Cancelled,Affordability
POL00017664,20250102,2025-01-02,Cancelled,Duplicate Cover
POL00017750,20250118,2025-01-18,Cancelled,Underwriting
POL00017753,20250317,2025-03-17,Lapsed,Non-payment
POL00017766,20250110,2025-01-10,Lapsed,Non-payment
POL00017772,20250104,2025-01-04,Cancelled,Duplicate Cover
POL00017845,20250117,2025-01-17,Cancelled,Customer Request
POL00017996,20250217,2025-02-17,Lapsed,Non-payment
POL00018077,20250305,2025-03-05,Lapsed,Non-payment
POL00018173,20250123,2025-01-23,Cancelled,Customer Request
POL00018194,20250103,2025-01-03,Cancelled,Affordability
POL00018281,20250109,2025-01-09,Cancelled,Affordability
POL00018410,20250125,2025-01-25,Lapsed,Non-payment
POL00018511,20250108,2025-01-08,Cancelled,Customer Request
POL00018596,20250119,2025-01-19,Lapsed,Non-payment
POL00018616,20250108,2025-01-08,Cancelled,Customer Request
POL00018686,20250206,2025-02-06,Lapsed,Non-payment
POL00018755,20250119,2025-01-19,Cancelled,Customer Request
POL00018759,20250103,2025-01-03,Cancelled,Affordability
POL00018843,20250102,2025-01-02,Cancelled,Underwriting
POL00018901,20250101,2025-01-01,Lapsed,Non-payment
POL00018904,20250113,2025-01-13,Cancelled,Duplicate Cover
POL00018928,20250122,2025-01-22,Lapsed,Non-payment
POL00018997,20250217,2025-02-17,Lapsed,Non-payment
POL00019031,20250111,2025-01-11,Cancelled,Underwriting
POL00019036,20250101,2025-01-01,Cancelled,Customer Request
POL00019133,20250203,2025-02-03,Lapsed,Non-payment
POL00019153,20250125,2025-01-25,Cancelled,Customer Request
POL00019243,20250110,2025-01-10,Lapsed,Non-payment
POL00019350,20250205,2025-02-05,Lapsed,Non-payment
POL00019383,20250304,2025-03-04,Lapsed,Non-payment
POL00019391,20250407,2025-04-07,Lapsed,Non-payment
POL00019395,20250210,2025-02-10,Lapsed,Non-payment
POL00019435,20250126,2025-01-26,Cancelled,Duplicate Cover
POL00019436,20250121,2025-01-21,Cancelled,Customer Request
POL00019453,20250109,2025-01-09,Cancelled,Affordability
POL00019507,20250202,2025-02-02,Cancelled,Duplicate Cover
POL00019522,20250202,2025-02-02,Cancelled,Underwriting
POL00019528,20250205,2025-02-05,Lapsed,Non-payment
POL00019533,20250420,2025-04-20,Lapsed,Non-payment
POL00019641,20250120,2025-01-20,Lapsed,Non-payment
POL00019656,20250211,2025-02-11,Cancelled,Duplicate Cover
POL00019673,20250130,2025-01-30,Cancelled,Duplicate Cover
POL00019683,20250108,2025-01-08,Cancelled,Affordability
POL00019710,20250407,2025-04-07,Lapsed,Non-payment
POL00019720,20250103,2025-01-03,Cancelled,Underwriting
POL00019721,20250128,2025-01-28,Cancelled,Duplicate Cover
POL00019735,20250101,2025-01-01,Cancelled,Duplicate Cover
POL00019799,20250114,2025-01-14,Lapsed,Non-payment
POL00019812,20250214,2025-02-14,Lapsed,Non-payment
POL00019822,20250206,2025-02-06,Cancelled,Customer Request
POL00019842,20250202,2025-02-02,Cancelled,Duplicate Cover
POL00019882,20250403,2025-04-03,Lapsed,Non-payment
POL00019922,20250119,2025-01-19,Lapsed,Non-payment
POL00019943,20250317,2025-03-17,Lapsed,Non-payment
POL00019965,20250106,2025-01-06,Cancelled,Duplicate Cover
POL00019969,20250328,2025-03-28,Lapsed,Non-payment
POL00020007,20250108,2025-01-08,Lapsed,Non-payment
POL00020029,20250114,2025-01-14,Cancelled,Affordability
POL00020036,20250307,2025-03-07,Lapsed,Non-payment
POL00020063,20250123,2025-01-23,Lapsed,Non-payment
POL00020076,20250216,2025-02-16,Lapsed,Non-payment
POL00020128,20250104,2025-01-04,Cancelled,Customer Request
POL00020143,20250310,2025-03-10,Lapsed,Non-payment
POL00020175,20250107,2025-01-07,Lapsed,Non-payment
POL00020279,20250216,2025-02-16,Lapsed,Non-payment
POL00020294,20250103,2025-01-03,Lapsed,Non-payment
POL00020313,20250205,2025-02-05,Cancelled,Duplicate Cover
POL00020327,20250110,2025-01-10,Cancelled,Underwriting
POL00020461,20250120,2025-01-20,Cancelled,Customer Request
POL00020482,20250317,2025-03-17,Lapsed,Non-payment
POL00020511,20250119,2025-01-19,Cancelled,Duplicate Cover
POL00020518,20250105,2025-01-05,Lapsed,Non-payment
POL00020523,20250221,2025-02-21,Cancelled,Customer Request
POL00020573,20250206,2025-02-06,Cancelled,Underwriting
POL00020584,20250106,2025-01-06,Cancelled,Affordability
POL00020590,20250202,2025-02-02,Lapsed,Non-payment
POL00020694,20250125,2025-01-25,Cancelled,Duplicate Cover
POL00020730,20250225,2025-02-25,Lapsed,Non-payment
POL00020772,20250121,2025-01-21,Cancelled,Underwriting
POL00020774,20250107,2025-01-07,Cancelled,Underwriting
POL00020790,20250225,2025-02-25,Lapsed,Non-payment
POL00020805,20250210,2025-02-10,Cancelled,Customer Request
POL00020812,20250403,2025-04-03,Lapsed,Non-payment
POL00020843,20250114,2025-01-14,Lapsed,Non-payment
POL00020895,20250107,2025-01-07,Cancelled,Customer Request
POL00020953,20250213,2025-02-13,Cancelled,Underwriting
POL00020955,20250129,2025-01-29,Lapsed,Non-payment
POL00020976,20250117,2025-01-17,Lapsed,Non-payment
POL00020980,20250219,2025-02-19,Cancelled,Duplicate Cover
POL00020994,20250125,2025-01-25,Cancelled,Duplicate Cover
POL00021010,20250224,2025-02-24,Cancelled,Underwriting
POL00021019,20250105,2025-01-05,Lapsed,Non-payment
POL00021038,20250106,2025-01-06,Lapsed,Non-payment
POL00021086,20250109,2025-01-09,Cancelled,Affordability
POL00021123,20250117,2025-01-17,Cancelled,Customer Request
POL00021164,20250331,2025-03-31,Lapsed,Non-payment
